Table 8. Life expectancy in Scotland's council areas split by deprivation quintile 2014-2018,,,,,,,,,
,,,,,,,,,
Council area,SIMD quintile (SIMD 2016),Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),,,
Shetland Islands,1,female,10 to 14,71.64783,69.58156,73.7141,,,
Shetland Islands,1,female,15 to 19,66.64783,64.58156,68.7141,,,
Shetland Islands,1,female,20 to 24,61.64783,59.58156,63.7141,,,
Shetland Islands,1,female,25 to 29,56.64783,54.58156,58.7141,,,
Shetland Islands,1,female,30 to 34,51.64783,49.58156,53.7141,,,
Shetland Islands,1,female,35 to 39,46.64783,44.58156,48.7141,,,
Shetland Islands,1,female,40 to 44,42.02292,40.07426,43.97157,,,
Shetland Islands,1,female,45 to 49,37.34714,35.489,39.20528,,,
Shetland Islands,1,female,50 to 54,32.97351,31.22238,34.72465,,,
Shetland Islands,1,female,55 to 59,28.3632,26.67501,30.05139,,,
Shetland Islands,1,female,60 to 64,24.97406,23.54595,26.40216,,,
Shetland Islands,1,female,65 to 69,20.11461,18.70439,21.52482,,,
Shetland Islands,1,female,70 to 74,15.74057,14.3912,17.08994,,,
Shetland Islands,1,female,75 to 79,12.26749,11.02192,13.51306,,,
Shetland Islands,1,female,80 to 84,8.92701,7.81377,10.04026,,,
Shetland Islands,1,female,85 to 89,6.29147,5.29973,7.2832,,,
Shetland Islands,1,female,90+,3.52174,2.50401,4.53947,,,
Shetland Islands,1,male,less than 1,75.66597,73.36293,77.96901,,,
Shetland Islands,1,male,1 to 4,74.66597,72.36293,76.96901,,,
Shetland Islands,1,male,5 to 9,70.66597,68.36293,72.96901,,,
Shetland Islands,1,male,10 to 14,65.66597,63.36293,67.96901,,,
Shetland Islands,1,male,15 to 19,60.66597,58.36293,62.96901,,,
Shetland Islands,1,male,20 to 24,55.66597,53.36293,57.96901,,,
Shetland Islands,1,male,25 to 29,50.66597,48.36293,52.96901,,,
Shetland Islands,1,male,30 to 34,45.66597,43.36293,47.96901,,,
Shetland Islands,1,male,35 to 39,41.03397,38.82712,43.24081,,,
Shetland Islands,1,male,40 to 44,37.35272,35.39638,39.30906,,,
Shetland Islands,1,male,45 to 49,33.36294,31.61829,35.1076,,,
Shetland Islands,1,male,50 to 54,28.78864,27.12266,30.45462,,,
Shetland Islands,1,male,55 to 59,24.09185,22.46052,25.72318,,,
Shetland Islands,1,male,60 to 64,20.4363,18.93119,21.94141,,,
Shetland Islands,1,male,65 to 69,16.97743,15.59568,18.35917,,,
Shetland Islands,1,male,70 to 74,13.41844,12.10564,14.73124,,,
Shetland Islands,1,male,75 to 79,10.44413,9.22435,11.6639,,,
Shetland Islands,1,male,80 to 84,7.2424,6.08416,8.40064,,,
Shetland Islands,1,male,85 to 89,5.01898,3.7967,6.24126,,,
Shetland Islands,1,male,90+,3.09091,1.2643,4.91752,,,
Shetland Islands,2,female,less than 1,80.61598,78.19689,83.03507,,,
Shetland Islands,2,female,1 to 4,80.36219,78.41231,82.31207,,,
Shetland Islands,2,female,5 to 9,76.36219,74.41231,78.31207,,,
Shetland Islands,2,female,10 to 14,71.36219,69.41231,73.31207,,,
Shetland Islands,2,female,15 to 19,66.36219,64.41231,68.31207,,,
Shetland Islands,2,female,20 to 24,61.36219,59.41231,63.31207,,,
Shetland Islands,2,female,25 to 29,56.36219,54.41231,58.31207,,,
Shetland Islands,2,female,30 to 34,51.36219,49.41231,53.31207,,,
Shetland Islands,2,female,35 to 39,46.76303,44.96237,48.56369,,,
Shetland Islands,2,female,40 to 44,41.76303,39.96237,43.56369,,,
Shetland Islands,2,female,45 to 49,37.07688,35.37013,38.78363,,,
Shetland Islands,2,female,50 to 54,32.31258,30.6579,33.96726,,,
Shetland Islands,2,female,55 to 59,27.66834,26.06906,29.26761,,,
Shetland Islands,2,female,60 to 64,23.60165,22.12771,25.07559,,,
Shetland Islands,2,female,65 to 69,19.35798,17.98839,20.72757,,,
Shetland Islands,2,female,70 to 74,15.14207,13.86052,16.42362,,,
Shetland Islands,2,female,75 to 79,11.54315,10.36748,12.71882,,,
Shetland Islands,2,female,80 to 84,8.07265,6.96242,9.18288,,,
Shetland Islands,2,female,85 to 89,5.79348,4.71527,6.87168,,,
Shetland Islands,2,female,90+,3.74286,2.50285,4.98287,,,
Shetland Islands,2,male,less than 1,81.26268,79.32023,83.20513,,,
Shetland Islands,2,male,1 to 4,80.26268,78.32023,82.20513,,,
Shetland Islands,2,male,5 to 9,76.26268,74.32023,78.20513,,,
Shetland Islands,2,male,10 to 14,71.26268,69.32023,73.20513,,,
Shetland Islands,2,male,15 to 19,66.26268,64.32023,68.20513,,,
Shetland Islands,2,male,20 to 24,61.26268,59.32023,63.20513,,,
Shetland Islands,2,male,25 to 29,56.26268,54.32023,58.20513,,,
Shetland Islands,2,male,30 to 34,51.26268,49.32023,53.20513,,,
Shetland Islands,2,male,35 to 39,46.26268,44.32023,48.20513,,,
Shetland Islands,2,male,40 to 44,41.26268,39.32023,43.20513,,,
Shetland Islands,2,male,45 to 49,36.86929,35.08765,38.65093,,,
Shetland Islands,2,male,50 to 54,32.09706,30.36044,33.83367,,,
Shetland Islands,2,male,55 to 59,27.59672,25.92537,29.26808,,,
Shetland Islands,2,male,60 to 64,23.33098,21.73946,24.9225,,,
Shetland Islands,2,male,65 to 69,18.8902,17.3532,20.42719,,,
Shetland Islands,2,male,70 to 74,15.16255,13.70169,16.6234,,,
Shetland Islands,2,male,75 to 79,12.02165,10.62136,13.42194,,,
Shetland Islands,2,male,80 to 84,8.91928,7.56122,10.27735,,,
Shetland Islands,2,male,85 to 89,5.80731,4.45714,7.15748,,,
Shetland Islands,2,male,90+,4.05556,2.18198,5.92913,,,
Shetland Islands,3,female,less than 1,83.62559,81.90326,85.34791,,,
Shetland Islands,3,female,1 to 4,82.62559,80.90326,84.34791,,,
Shetland Islands,3,female,5 to 9,78.62559,76.90326,80.34791,,,
Shetland Islands,3,female,10 to 14,73.62559,71.90326,75.34791,,,
Shetland Islands,3,female,15 to 19,68.62559,66.90326,70.34791,,,
Shetland Islands,3,female,20 to 24,63.62559,61.90326,65.34791,,,
Shetland Islands,3,female,25 to 29,58.62559,56.90326,60.34791,,,
Shetland Islands,3,female,30 to 34,53.62559,51.90326,55.34791,,,
Shetland Islands,3,female,35 to 39,48.62559,46.90326,50.34791,,,
Shetland Islands,3,female,40 to 44,43.62559,41.90326,45.34791,,,
Shetland Islands,3,female,45 to 49,38.89491,37.24418,40.54564,,,
Shetland Islands,3,female,50 to 54,33.89491,32.24418,35.54564,,,
Shetland Islands,3,female,55 to 59,29.48467,27.94374,31.02561,,,
Shetland Islands,3,female,60 to 64,25.08836,23.63093,26.54578,,,
Shetland Islands,3,female,65 to 69,20.97766,19.64788,22.30744,,,
Shetland Islands,3,female,70 to 74,16.26193,14.97137,17.55249,,,
Shetland Islands,3,female,75 to 79,11.96051,10.75845,13.16257,,,
Shetland Islands,3,female,80 to 84,8.62442,7.57342,9.67542,,,
Shetland Islands,3,female,85 to 89,5.5383,4.60192,6.47467,,,
Shetland Islands,3,female,90+,3.55882,2.36257,4.75508,,,
Shetland Islands,3,male,less than 1,77.44442,74.82978,80.05906,,,
Shetland Islands,3,male,1 to 4,77.05391,74.70738,79.40044,,,
Shetland Islands,3,male,5 to 9,73.05391,70.70738,75.40044,,,
Shetland Islands,3,male,10 to 14,68.05391,65.70738,70.40044,,,
Shetland Islands,3,male,15 to 19,63.05391,60.70738,65.40044,,,
Shetland Islands,3,male,20 to 24,58.51793,56.33677,60.69908,,,
Shetland Islands,3,male,25 to 29,53.98435,51.98578,55.98292,,,
Shetland Islands,3,male,30 to 34,49.31082,47.40476,51.21688,,,
Shetland Islands,3,male,35 to 39,44.62775,42.81283,46.44268,,,
Shetland Islands,3,male,40 to 44,39.90583,38.16268,41.64897,,,
Shetland Islands,3,male,45 to 49,35.13184,33.43539,36.8283,,,
Shetland Islands,3,male,50 to 54,30.13184,28.43539,31.8283,,,
Shetland Islands,3,male,55 to 59,25.80089,24.19506,27.40673,,,
Shetland Islands,3,male,60 to 64,21.5378,20.01662,23.05897,,,
Shetland Islands,3,male,65 to 69,17.44113,15.98225,18.90002,,,
Shetland Islands,3,male,70 to 74,13.95646,12.5657,15.34722,,,
Shetland Islands,3,male,75 to 79,10.2912,8.95913,11.62326,,,
Shetland Islands,3,male,80 to 84,7.84024,6.54214,9.13833,,,
Shetland Islands,3,male,85 to 89,4.98643,3.62539,6.34747,,,
Shetland Islands,3,male,90+,4.33333,1.88152,6.78515,,,
Shetland Islands,4,female,less than 1,83.35115,81.42548,85.27682,,,
Shetland Islands,4,female,1 to 4,82.35115,80.42548,84.27682,,,
Shetland Islands,4,female,5 to 9,78.35115,76.42548,80.27682,,,
Shetland Islands,4,female,10 to 14,73.35115,71.42548,75.27682,,,
Shetland Islands,4,female,15 to 19,68.35115,66.42548,70.27682,,,
Shetland Islands,4,female,20 to 24,63.35115,61.42548,65.27682,,,
Shetland Islands,4,female,25 to 29,58.35115,56.42548,60.27682,,,
Shetland Islands,4,female,30 to 34,53.80412,52.07959,55.52865,,,
Shetland Islands,4,female,35 to 39,48.80412,47.07959,50.52865,,,
Shetland Islands,4,female,40 to 44,43.80412,42.07959,45.52865,,,
Shetland Islands,4,female,45 to 49,38.80412,37.07959,40.52865,,,
Shetland Islands,4,female,50 to 54,33.80412,32.07959,35.52865,,,
Shetland Islands,4,female,55 to 59,29.16812,27.49896,30.83728,,,
Shetland Islands,4,female,60 to 64,24.73755,23.16202,26.31307,,,
Shetland Islands,4,female,65 to 69,20.43728,18.93631,21.93825,,,
Shetland Islands,4,female,70 to 74,16.47412,15.06883,17.87941,,,
Shetland Islands,4,female,75 to 79,12.09299,10.7342,13.45178,,,
Shetland Islands,4,female,80 to 84,8.28838,7.038,9.53876,,,
Shetland Islands,4,female,85 to 89,5.51468,4.35294,6.67642,,,
Shetland Islands,4,female,90+,3.14286,1.79863,4.48708,,,
Shetland Islands,4,male,less than 1,79.6389,77.5697,81.70809,,,
Shetland Islands,4,male,1 to 4,78.6389,76.5697,80.70809,,,
Shetland Islands,4,male,5 to 9,74.6389,72.5697,76.70809,,,
Shetland Islands,4,male,10 to 14,69.6389,67.5697,71.70809,,,
Shetland Islands,4,male,15 to 19,64.6389,62.5697,66.70809,,,
Shetland Islands,4,male,20 to 24,59.6389,57.5697,61.70809,,,
Shetland Islands,4,male,25 to 29,55.04214,53.11518,56.96909,,,
Shetland Islands,4,male,30 to 34,50.04214,48.11518,51.96909,,,
Shetland Islands,4,male,35 to 39,45.04214,43.11518,46.96909,,,
Shetland Islands,4,male,40 to 44,40.35843,38.51958,42.19729,,,
Shetland Islands,4,male,45 to 49,35.35843,33.51958,37.19729,,,
Shetland Islands,4,male,50 to 54,30.76161,28.98711,32.5361,,,
Shetland Islands,4,male,55 to 59,26.79359,25.1271,28.46008,,,
Shetland Islands,4,male,60 to 64,22.77846,21.24201,24.31492,,,
Shetland Islands,4,male,65 to 69,18.21207,16.72317,19.70097,,,
Shetland Islands,4,male,70 to 74,14.16144,12.73531,15.58758,,,
Shetland Islands,4,male,75 to 79,9.99526,8.60735,11.38316,,,
Shetland Islands,4,male,80 to 84,6.81596,5.52882,8.10311,,,
Shetland Islands,4,male,85 to 89,4.60046,3.17428,6.02664,,,
Shetland Islands,4,male,90+,3.90909,1.59897,6.21922,,,
Shetland Islands,5,female,less than 1,85.0017,82.33758,87.66582,,,
Shetland Islands,5,female,1 to 4,84.0017,81.33758,86.66582,,,
Shetland Islands,5,female,5 to 9,80.0017,77.33758,82.66582,,,
Shetland Islands,5,female,10 to 14,75.0017,72.33758,77.66582,,,
Shetland Islands,5,female,15 to 19,70.0017,67.33758,72.66582,,,
Shetland Islands,5,female,20 to 24,65.0017,62.33758,67.66582,,,
Shetland Islands,5,female,25 to 29,60.0017,57.33758,62.66582,,,
Shetland Islands,5,female,30 to 34,55.0017,52.33758,57.66582,,,
Shetland Islands,5,female,35 to 39,50.0017,47.33758,52.66582,,,
Shetland Islands,5,female,40 to 44,45.61305,43.05291,48.17318,,,
Shetland Islands,5,female,45 to 49,40.85059,38.31903,43.38214,,,
Shetland Islands,5,female,50 to 54,36.03417,33.5162,38.55214,,,
Shetland Islands,5,female,55 to 59,31.36851,28.86843,33.86858,,,
Shetland Islands,5,female,60 to 64,26.96292,24.50352,29.42232,,,
Shetland Islands,5,female,65 to 69,22.94536,20.54268,25.34804,,,
Shetland Islands,5,female,70 to 74,19.19095,16.8257,21.55619,,,
Shetland Islands,5,female,75 to 79,14.51504,12.14691,16.88318,,,
Shetland Islands,5,female,80 to 84,11.3494,8.85751,13.84129,,,
Shetland Islands,5,female,85 to 89,9.45809,6.63073,12.28545,,,
Shetland Islands,5,female,90+,7.33333,3.94551,10.72116,,,
Shetland Islands,5,male,less than 1,78.96954,76.4182,81.52087,,,
Shetland Islands,5,male,1 to 4,77.96954,75.4182,80.52087,,,
Shetland Islands,5,male,5 to 9,73.96954,71.4182,76.52087,,,
Shetland Islands,5,male,10 to 14,69.39419,66.96726,71.82112,,,
Shetland Islands,5,male,15 to 19,64.39419,61.96726,66.82112,,,
Shetland Islands,5,male,20 to 24,59.39419,56.96726,61.82112,,,
Shetland Islands,5,male,25 to 29,55.13597,52.90574,57.3662,,,
Shetland Islands,5,male,30 to 34,50.79228,48.72804,52.85651,,,
Shetland Islands,5,male,35 to 39,45.79228,43.72804,47.85651,,,
Shetland Islands,5,male,40 to 44,41.08263,39.08455,43.08072,,,
Shetland Islands,5,male,45 to 49,36.28348,34.31415,38.25281,,,
Shetland Islands,5,male,50 to 54,31.76725,29.84732,33.68718,,,
Shetland Islands,5,male,55 to 59,27.67712,25.84072,29.51351,,,
Shetland Islands,5,male,60 to 64,23.09743,21.29302,24.90184,,,
Shetland Islands,5,male,65 to 69,19.16151,17.44468,20.87834,,,
Shetland Islands,5,male,70 to 74,15.35674,13.6842,17.02928,,,
Shetland Islands,5,male,75 to 79,11.38118,9.7329,13.02946,,,
Shetland Islands,5,male,80 to 84,8.65841,6.95601,10.3608,,,
Shetland Islands,5,male,85 to 89,5.75786,3.93608,7.57964,,,
Shetland Islands,5,male,90+,3.66667,1.27111,6.06222,,,
Shetland Islands,all,female,less than 1,82.62819,81.70817,83.54821,,,
Shetland Islands,all,female,1 to 4,81.76905,80.88986,82.64824,,,
Shetland Islands,all,female,5 to 9,77.76905,76.88986,78.64824,,,
Shetland Islands,all,female,10 to 14,72.76905,71.88986,73.64824,,,
Shetland Islands,all,female,15 to 19,67.76905,66.88986,68.64824,,,
Shetland Islands,all,female,20 to 24,62.76905,61.88986,63.64824,,,
Shetland Islands,all,female,25 to 29,57.76905,56.88986,58.64824,,,
Shetland Islands,all,female,30 to 34,52.8525,51.98733,53.71767,,,
Shetland Islands,all,female,35 to 39,47.92913,47.07577,48.78248,,,
Shetland Islands,all,female,40 to 44,43.13106,42.30508,43.95705,,,
Shetland Islands,all,female,45 to 49,38.34969,37.54753,39.15184,,,
Shetland Islands,all,female,50 to 54,33.56459,32.78005,34.34913,,,
Shetland Islands,all,female,55 to 59,28.96364,28.2053,29.72199,,,
Shetland Islands,all,female,60 to 64,24.8214,24.11695,25.52585,,,
Shetland Islands,all,female,65 to 69,20.48934,19.82139,21.15729,,,
Shetland Islands,all,female,70 to 74,16.26071,15.62817,16.89325,,,
Shetland Islands,all,female,75 to 79,12.231,11.63163,12.83037,,,
Shetland Islands,all,female,80 to 84,8.7903,8.22971,9.35089,,,
Shetland Islands,all,female,85 to 89,6.18893,5.65219,6.72568,,,
Shetland Islands,all,female,90+,3.97403,3.34636,4.60169,,,
Shetland Islands,all,male,less than 1,78.44243,77.39117,79.4937,,,
Shetland Islands,all,male,1 to 4,77.57068,76.54818,78.59317,,,
Shetland Islands,all,male,5 to 9,73.57068,72.54818,74.59317,,,
Shetland Islands,all,male,10 to 14,68.66926,67.66377,69.67476,,,
Shetland Islands,all,male,15 to 19,63.66926,62.66377,64.67476,,,
Shetland Islands,all,male,20 to 24,58.76008,57.76898,59.75119,,,
Shetland Islands,all,male,25 to 29,54.08775,53.14433,55.03117,,,
Shetland Islands,all,male,30 to 34,49.31001,48.39667,50.22336,,,
Shetland Islands,all,male,35 to 39,44.44925,43.5538,45.34469,,,
Shetland Islands,all,male,40 to 44,39.92473,39.08193,40.76753,,,
Shetland Islands,all,male,45 to 49,35.30916,34.50091,36.11742,,,
Shetland Islands,all,male,50 to 54,30.62448,29.83855,31.41042,,,
Shetland Islands,all,male,55 to 59,26.31121,25.5603,27.06212,,,
Shetland Islands,all,male,60 to 64,22.15609,21.44428,22.86791,,,
Shetland Islands,all,male,65 to 69,18.07991,17.40363,18.75618,,,
Shetland Islands,all,male,70 to 74,14.37076,13.72362,15.01789,,,
Shetland Islands,all,male,75 to 79,10.82195,10.19925,11.44465,,,
Shetland Islands,all,male,80 to 84,7.88878,7.28148,8.49607,,,
Shetland Islands,all,male,85 to 89,5.27415,4.63444,5.91386,,,
Shetland Islands,all,male,90+,3.85246,2.88568,4.81924,,,
South Ayrshire,1,female,less than 1,76.85886,75.61962,78.09809,,,
South Ayrshire,1,female,1 to 4,76.21604,75.0388,77.39328,,,
South Ayrshire,1,female,5 to 9,72.21604,71.0388,73.39328,,,
South Ayrshire,1,female,10 to 14,67.33375,66.17734,68.49015,,,
South Ayrshire,1,female,15 to 19,62.33375,61.17734,63.49015,,,
South Ayrshire,1,female,20 to 24,57.52418,56.39461,58.65374,,,
South Ayrshire,1,female,25 to 29,52.80313,51.70142,53.90485,,,
South Ayrshire,1,female,30 to 34,48.12906,47.05789,49.20023,,,
South Ayrshire,1,female,35 to 39,43.59677,42.57219,44.62135,,,
South Ayrshire,1,female,40 to 44,39.35362,38.41285,40.29439,,,
South Ayrshire,1,female,45 to 49,34.81617,33.91986,35.71249,,,
South Ayrshire,1,female,50 to 54,30.27562,29.40866,31.14258,,,
South Ayrshire,1,female,55 to 59,26.31674,25.50759,27.1259,,,
South Ayrshire,1,female,60 to 64,21.8389,21.0535,22.6243,,,
South Ayrshire,1,female,65 to 69,17.97437,17.23045,18.71829,,,
South Ayrshire,1,female,70 to 74,14.49174,13.79124,15.19223,,,
South Ayrshire,1,female,75 to 79,11.49211,10.83481,12.14942,,,
South Ayrshire,1,female,80 to 84,8.76767,8.12707,9.40826,,,
South Ayrshire,1,female,85 to 89,6.38429,5.69431,7.07428,,,
South Ayrshire,1,female,90+,5.24762,4.24387,6.25136,,,
South Ayrshire,1,male,less than 1,72.7105,71.4188,74.00221,,,
South Ayrshire,1,male,1 to 4,72.04996,70.81065,73.28927,,,
South Ayrshire,1,male,5 to 9,68.04996,66.81065,69.28927,,,
South Ayrshire,1,male,10 to 14,63.04996,61.81065,64.28927,,,
South Ayrshire,1,male,15 to 19,58.04996,56.81065,59.28927,,,
South Ayrshire,1,male,20 to 24,53.04996,51.81065,54.28927,,,
South Ayrshire,1,male,25 to 29,48.26701,47.04696,49.48706,,,
South Ayrshire,1,male,30 to 34,43.69698,42.50777,44.88618,,,
South Ayrshire,1,male,35 to 39,39.39448,38.25882,40.53014,,,
South Ayrshire,1,male,40 to 44,35.38361,34.32597,36.44125,,,
South Ayrshire,1,male,45 to 49,31.49793,30.52371,32.47215,,,
South Ayrshire,1,male,50 to 54,27.76503,26.87316,28.65691,,,
South Ayrshire,1,male,55 to 59,23.6965,22.84978,24.54322,,,
South Ayrshire,1,male,60 to 64,20.06278,19.26603,20.85954,,,
South Ayrshire,1,male,65 to 69,16.59097,15.83631,17.34562,,,
South Ayrshire,1,male,70 to 74,13.6933,12.98258,14.40402,,,
South Ayrshire,1,male,75 to 79,10.53351,9.85136,11.21566,,,
South Ayrshire,1,male,80 to 84,7.83355,7.15904,8.50807,,,
South Ayrshire,1,male,85 to 89,5.70894,4.93531,6.48256,,,
South Ayrshire,1,male,90+,4.44444,3.25901,5.62988,,,
South Ayrshire,2,female,less than 1,80.37827,79.35928,81.39726,,,
South Ayrshire,2,female,1 to 4,79.53005,78.55353,80.50658,,,
South Ayrshire,2,female,5 to 9,75.53005,74.55353,76.50658,,,
South Ayrshire,2,female,10 to 14,70.53005,69.55353,71.50658,,,
South Ayrshire,2,female,15 to 19,65.53005,64.55353,66.50658,,,
South Ayrshire,2,female,20 to 24,60.53005,59.55353,61.50658,,,
South Ayrshire,2,female,25 to 29,55.90687,54.9965,56.81724,,,
South Ayrshire,2,female,30 to 34,51.06479,50.17842,51.95115,,,
South Ayrshire,2,female,35 to 39,46.21071,45.34507,47.07636,,,
South Ayrshire,2,female,40 to 44,41.34373,40.49531,42.19216,,,
South Ayrshire,2,female,45 to 49,36.90425,36.11793,37.69057,,,
South Ayrshire,2,female,50 to 54,32.31786,31.56503,33.07069,,,
South Ayrshire,2,female,55 to 59,27.84212,27.11848,28.56576,,,
South Ayrshire,2,female,60 to 64,23.75719,23.07592,24.43846,,,
South Ayrshire,2,female,65 to 69,19.79413,19.15785,20.43041,,,
South Ayrshire,2,female,70 to 74,16.15587,15.56499,16.74675,,,
South Ayrshire,2,female,75 to 79,12.52266,11.9691,13.07622,,,
South Ayrshire,2,female,80 to 84,9.34828,8.8221,9.87446,,,
South Ayrshire,2,female,85 to 89,6.65557,6.11084,7.20029,,,
South Ayrshire,2,female,90+,5.2266,4.5076,5.9456,,,
South Ayrshire,2,male,less than 1,75.3139,74.13997,76.48784,,,
South Ayrshire,2,male,1 to 4,74.45168,73.30708,75.59629,,,
South Ayrshire,2,male,5 to 9,70.57807,69.45859,71.69755,,,
South Ayrshire,2,male,10 to 14,65.57807,64.45859,66.69755,,,
South Ayrshire,2,male,15 to 19,60.69093,59.59153,61.79034,,,
South Ayrshire,2,male,20 to 24,55.69093,54.59153,56.79034,,,
South Ayrshire,2,male,25 to 29,51.05389,50.0061,52.10168,,,
South Ayrshire,2,male,30 to 34,46.45259,45.45618,47.449,,,
South Ayrshire,2,male,35 to 39,42.19153,41.28976,43.09331,,,
South Ayrshire,2,male,40 to 44,37.76387,36.94092,38.58683,,,
South Ayrshire,2,male,45 to 49,33.33154,32.57428,34.08881,,,
South Ayrshire,2,male,50 to 54,28.98176,28.27441,29.6891,,,
South Ayrshire,2,male,55 to 59,24.73144,24.06792,25.39496,,,
South Ayrshire,2,male,60 to 64,20.59648,19.97625,21.21671,,,
South Ayrshire,2,male,65 to 69,16.62454,16.05447,17.19461,,,
South Ayrshire,2,male,70 to 74,13.05201,12.52093,13.58309,,,
South Ayrshire,2,male,75 to 79,9.87786,9.38149,10.37422,,,
South Ayrshire,2,male,80 to 84,7.07281,6.60258,7.54304,,,
South Ayrshire,2,male,85 to 89,5.00586,4.52454,5.48718,,,
South Ayrshire,2,male,90+,3.50538,2.79293,4.21782,,,
South Ayrshire,3,female,less than 1,80.27019,79.23633,81.30406,,,
South Ayrshire,3,female,1 to 4,79.58105,78.6372,80.5249,,,
South Ayrshire,3,female,5 to 9,75.718,74.81145,76.62454,,,
South Ayrshire,3,female,10 to 14,70.718,69.81145,71.62454,,,
South Ayrshire,3,female,15 to 19,65.718,64.81145,66.62454,,,
South Ayrshire,3,female,20 to 24,60.82579,59.94266,61.70892,,,
South Ayrshire,3,female,25 to 29,55.82579,54.94266,56.70892,,,
South Ayrshire,3,female,30 to 34,50.91217,50.04399,51.78035,,,
South Ayrshire,3,female,35 to 39,46.21897,45.399,47.03894,,,
South Ayrshire,3,female,40 to 44,41.35719,40.55732,42.15706,,,
South Ayrshire,3,female,45 to 49,36.86765,36.13006,37.60523,,,
South Ayrshire,3,female,50 to 54,32.25757,31.55232,32.96282,,,
South Ayrshire,3,female,55 to 59,27.68095,27.00426,28.35764,,,
South Ayrshire,3,female,60 to 64,23.23644,22.59257,23.88031,,,
South Ayrshire,3,female,65 to 69,19.03584,18.43404,19.63764,,,
South Ayrshire,3,female,70 to 74,14.80589,14.22801,15.38376,,,
South Ayrshire,3,female,75 to 79,11.55049,11.00753,12.09346,,,
South Ayrshire,3,female,80 to 84,8.57103,8.06099,9.08108,,,
South Ayrshire,3,female,85 to 89,6.2455,5.73845,6.75255,,,
South Ayrshire,3,female,90+,4.19277,3.55494,4.8306,,,
South Ayrshire,3,male,less than 1,77.73431,76.61962,78.849,,,
South Ayrshire,3,male,1 to 4,77.16189,76.15152,78.17227,,,
South Ayrshire,3,male,5 to 9,73.16189,72.15152,74.17227,,,
South Ayrshire,3,male,10 to 14,68.16189,67.15152,69.17227,,,
South Ayrshire,3,male,15 to 19,63.27201,62.28326,64.26076,,,
South Ayrshire,3,male,20 to 24,58.36184,57.38743,59.33625,,,
South Ayrshire,3,male,25 to 29,53.69327,52.76879,54.61774,,,
South Ayrshire,3,male,30 to 34,48.78017,47.86995,49.69038,,,
South Ayrshire,3,male,35 to 39,44.10631,43.24763,44.96499,,,
South Ayrshire,3,male,40 to 44,39.18137,38.33384,40.02891,,,
South Ayrshire,3,male,45 to 49,34.60335,33.80579,35.4009,,,
South Ayrshire,3,male,50 to 54,30.12705,29.37354,30.88056,,,
South Ayrshire,3,male,55 to 59,25.55518,24.82682,26.28354,,,
South Ayrshire,3,male,60 to 64,21.38043,20.69574,22.06512,,,
South Ayrshire,3,male,65 to 69,17.21312,16.564,17.86223,,,
South Ayrshire,3,male,70 to 74,13.7134,13.09605,14.33076,,,
South Ayrshire,3,male,75 to 79,10.7333,10.14366,11.32293,,,
South Ayrshire,3,male,80 to 84,8.09978,7.52064,8.67892,,,
South Ayrshire,3,male,85 to 89,5.58744,4.99648,6.1784,,,
South Ayrshire,3,male,90+,3.78571,2.97613,4.5953,,,
South Ayrshire,4,female,less than 1,83.62881,82.72133,84.53629,,,
South Ayrshire,4,female,1 to 4,82.62881,81.72133,83.53629,,,
South Ayrshire,4,female,5 to 9,78.62881,77.72133,79.53629,,,
South Ayrshire,4,female,10 to 14,73.62881,72.72133,74.53629,,,
South Ayrshire,4,female,15 to 19,68.62881,67.72133,69.53629,,,
South Ayrshire,4,female,20 to 24,63.7488,62.87068,64.62693,,,
South Ayrshire,4,female,25 to 29,58.7488,57.87068,59.62693,,,
South Ayrshire,4,female,30 to 34,53.99573,53.18316,54.80829,,,
South Ayrshire,4,female,35 to 39,49.18429,48.41191,49.95666,,,
South Ayrshire,4,female,40 to 44,44.26144,43.50273,45.02014,,,
South Ayrshire,4,female,45 to 49,39.5335,38.8083,40.2587,,,
South Ayrshire,4,female,50 to 54,34.65701,33.94299,35.37104,,,
South Ayrshire,4,female,55 to 59,30.1706,29.49097,30.85023,,,
South Ayrshire,4,female,60 to 64,25.6439,24.99342,26.29439,,,
South Ayrshire,4,female,65 to 69,21.24355,20.6241,21.86301,,,
South Ayrshire,4,female,70 to 74,16.87144,16.27488,17.46801,,,
South Ayrshire,4,female,75 to 79,13.11795,12.54793,13.68796,,,
South Ayrshire,4,female,80 to 84,9.6858,9.14047,10.23112,,,
South Ayrshire,4,female,85 to 89,6.7738,6.2085,7.33911,,,
South Ayrshire,4,female,90+,4.80117,4.08155,5.52079,,,
South Ayrshire,4,male,less than 1,80.38007,79.36993,81.3902,,,
South Ayrshire,4,male,1 to 4,79.38007,78.36993,80.3902,,,
South Ayrshire,4,male,5 to 9,75.38007,74.36993,76.3902,,,
South Ayrshire,4,male,10 to 14,70.38007,69.36993,71.3902,,,
South Ayrshire,4,male,15 to 19,65.38007,64.36993,66.3902,,,
South Ayrshire,4,male,20 to 24,60.38007,59.36993,61.3902,,,
South Ayrshire,4,male,25 to 29,55.59774,54.62991,56.56558,,,
South Ayrshire,4,male,30 to 34,51.05196,50.18422,51.91969,,,
South Ayrshire,4,male,35 to 39,46.15242,45.30552,46.99931,,,
South Ayrshire,4,male,40 to 44,41.39946,40.59523,42.20368,,,
