Table 8. Life expectancy in Scotland's council areas split by deprivation quintile 2014-2018,,,,,,,,,
,,,,,,,,,
Council area,SIMD quintile (SIMD 2016),Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),,,
Aberdeen City,all,male,35 to 39,42.65,42.34,42.97,,,
Aberdeen City,all,male,40 to 44,38.04,37.73,38.35,,,
Aberdeen City,all,male,45 to 49,33.69,33.39,33.99,,,
Aberdeen City,all,male,50 to 54,29.37,29.08,29.65,,,
Aberdeen City,all,male,55 to 59,25.11,24.84,25.38,,,
Aberdeen City,all,male,60 to 64,20.98,20.72,21.24,,,
Aberdeen City,all,male,65 to 69,17.14,16.89,17.38,,,
Aberdeen City,all,male,70 to 74,13.72,13.49,13.95,,,
Aberdeen City,all,male,75 to 79,10.51,10.29,10.73,,,
Aberdeen City,all,male,80 to 84,7.69,7.48,7.90,,,
Aberdeen City,all,male,85 to 89,5.39,5.17,5.60,,,
Aberdeen City,all,male,90+,3.91,3.59,4.24,,,
Aberdeenshire,1,female,less than 1,80.34648,79.66692,81.02604,,,
Aberdeenshire,1,female,1 to 4,79.62501,78.98846,80.26157,,,
Aberdeenshire,1,female,5 to 9,75.62501,74.98846,76.26157,,,
Aberdeenshire,1,female,10 to 14,70.62501,69.98846,71.26157,,,
Aberdeenshire,1,female,15 to 19,65.62501,64.98846,66.26157,,,
Aberdeenshire,1,female,20 to 24,60.72319,60.10036,61.34602,,,
Aberdeenshire,1,female,25 to 29,55.80229,55.18834,56.41625,,,
Aberdeenshire,1,female,30 to 34,51.02225,50.42778,51.61672,,,
Aberdeenshire,1,female,35 to 39,46.25689,45.68221,46.83157,,,
Aberdeenshire,1,female,40 to 44,41.47991,40.92347,42.03635,,,
Aberdeenshire,1,female,45 to 49,36.88281,36.35461,37.41101,,,
Aberdeenshire,1,female,50 to 54,32.32086,31.81584,32.82588,,,
Aberdeenshire,1,female,55 to 59,27.82068,27.33781,28.30356,,,
Aberdeenshire,1,female,60 to 64,23.39978,22.93955,23.86002,,,
Aberdeenshire,1,female,65 to 69,19.26209,18.82946,19.69471,,,
Aberdeenshire,1,female,70 to 74,15.28362,14.87206,15.69518,,,
Aberdeenshire,1,female,75 to 79,11.80726,11.42395,12.19057,,,
Aberdeenshire,1,female,80 to 84,8.82658,8.47107,9.18209,,,
Aberdeenshire,1,female,85 to 89,6.03364,5.6849,6.38238,,,
Aberdeenshire,1,female,90+,3.97484,3.53796,4.41172,,,
Aberdeenshire,1,male,less than 1,75.90837,75.1987,76.61804,,,
Aberdeenshire,1,male,1 to 4,75.06385,74.37488,75.75282,,,
Aberdeenshire,1,male,5 to 9,71.11006,70.42664,71.79349,,,
Aberdeenshire,1,male,10 to 14,66.15206,65.47319,66.83092,,,
Aberdeenshire,1,male,15 to 19,61.15206,60.47319,61.83092,,,
Aberdeenshire,1,male,20 to 24,56.27268,55.60628,56.93908,,,
Aberdeenshire,1,male,25 to 29,51.50124,50.85387,52.1486,,,
Aberdeenshire,1,male,30 to 34,46.67036,46.03507,47.30566,,,
Aberdeenshire,1,male,35 to 39,42.06827,41.46,42.67654,,,
Aberdeenshire,1,male,40 to 44,37.39369,36.8067,37.98067,,,
Aberdeenshire,1,male,45 to 49,33.09948,32.55224,33.64671,,,
Aberdeenshire,1,male,50 to 54,28.8388,28.32489,29.35271,,,
Aberdeenshire,1,male,55 to 59,24.68948,24.20786,25.1711,,,
Aberdeenshire,1,male,60 to 64,20.54312,20.08913,20.99711,,,
Aberdeenshire,1,male,65 to 69,16.87584,16.45942,17.29225,,,
Aberdeenshire,1,male,70 to 74,13.19488,12.79776,13.59201,,,
Aberdeenshire,1,male,75 to 79,9.90524,9.52981,10.28068,,,
Aberdeenshire,1,male,80 to 84,7.27523,6.91624,7.63422,,,
Aberdeenshire,1,male,85 to 89,5.20089,4.80901,5.59276,,,
Aberdeenshire,1,male,90+,3.64205,3.10397,4.18012,,,
Aberdeenshire,2,female,less than 1,81.40804,80.72793,82.08815,,,
Aberdeenshire,2,female,1 to 4,80.55313,79.90221,81.20405,,,
Aberdeenshire,2,female,5 to 9,76.61711,75.97785,77.25637,,,
Aberdeenshire,2,female,10 to 14,71.61711,70.97785,72.25637,,,
Aberdeenshire,2,female,15 to 19,66.61711,65.97785,67.25637,,,
Aberdeenshire,2,female,20 to 24,61.71832,61.09363,62.34301,,,
Aberdeenshire,2,female,25 to 29,56.86767,56.26471,57.47064,,,
Aberdeenshire,2,female,30 to 34,51.95583,51.3644,52.54727,,,
Aberdeenshire,2,female,35 to 39,47.0637,46.4837,47.64369,,,
Aberdeenshire,2,female,40 to 44,42.3197,41.76417,42.87523,,,
Aberdeenshire,2,female,45 to 49,37.60496,37.07164,38.13828,,,
Aberdeenshire,2,female,50 to 54,32.89695,32.37874,33.41516,,,
Aberdeenshire,2,female,55 to 59,28.39328,27.89596,28.8906,,,
Aberdeenshire,2,female,60 to 64,24.00556,23.53311,24.478,,,
Aberdeenshire,2,female,65 to 69,19.73603,19.28951,20.18254,,,
Aberdeenshire,2,female,70 to 74,15.76686,15.3488,16.18492,,,
Aberdeenshire,2,female,75 to 79,12.03887,11.65139,12.42636,,,
Aberdeenshire,2,female,80 to 84,8.61766,8.25912,8.9762,,,
Aberdeenshire,2,female,85 to 89,5.99563,5.66002,6.33123,,,
Aberdeenshire,2,female,90+,4.11436,3.69848,4.53024,,,
Aberdeenshire,2,male,less than 1,78.14682,77.4414,78.85224,,,
Aberdeenshire,2,male,1 to 4,77.27478,76.59087,77.9587,,,
Aberdeenshire,2,male,5 to 9,73.27478,72.59087,73.9587,,,
Aberdeenshire,2,male,10 to 14,68.32771,67.65119,69.00423,,,
Aberdeenshire,2,male,15 to 19,63.32771,62.65119,64.00423,,,
Aberdeenshire,2,male,20 to 24,58.46146,57.80061,59.12232,,,
Aberdeenshire,2,male,25 to 29,53.58596,52.93883,54.2331,,,
Aberdeenshire,2,male,30 to 34,48.87129,48.25603,49.48655,,,
Aberdeenshire,2,male,35 to 39,44.04595,43.44772,44.64417,,,
Aberdeenshire,2,male,40 to 44,39.38831,38.81738,39.95925,,,
Aberdeenshire,2,male,45 to 49,34.88445,34.34885,35.42006,,,
Aberdeenshire,2,male,50 to 54,30.20355,29.68334,30.72375,,,
Aberdeenshire,2,male,55 to 59,25.77552,25.27569,26.27536,,,
Aberdeenshire,2,male,60 to 64,21.59434,21.1203,22.06838,,,
Aberdeenshire,2,male,65 to 69,17.38622,16.93396,17.83849,,,
Aberdeenshire,2,male,70 to 74,13.79634,13.36888,14.2238,,,
Aberdeenshire,2,male,75 to 79,10.63717,10.2364,11.03793,,,
Aberdeenshire,2,male,80 to 84,7.63623,7.2558,8.01666,,,
Aberdeenshire,2,male,85 to 89,5.37269,5.00279,5.74259,,,
Aberdeenshire,2,male,90+,3.36634,2.9021,3.83057,,,
Aberdeenshire,3,female,less than 1,83.39294,82.75929,84.02659,,,
Aberdeenshire,3,female,1 to 4,82.51052,81.89728,83.12375,,,
Aberdeenshire,3,female,5 to 9,78.51052,77.89728,79.12375,,,
Aberdeenshire,3,female,10 to 14,73.55763,72.951,74.16425,,,
Aberdeenshire,3,female,15 to 19,68.60345,68.00312,69.20377,,,
Aberdeenshire,3,female,20 to 24,63.69942,63.11314,64.2857,,,
Aberdeenshire,3,female,25 to 29,58.74925,58.17069,59.32781,,,
Aberdeenshire,3,female,30 to 34,53.87961,53.31882,54.44039,,,
Aberdeenshire,3,female,35 to 39,48.97358,48.42194,49.52521,,,
Aberdeenshire,3,female,40 to 44,44.10681,43.56609,44.64752,,,
Aberdeenshire,3,female,45 to 49,39.33743,38.81118,39.86369,,,
Aberdeenshire,3,female,50 to 54,34.56274,34.04667,35.07881,,,
Aberdeenshire,3,female,55 to 59,29.86694,29.36187,30.37201,,,
Aberdeenshire,3,female,60 to 64,25.39021,24.90366,25.87676,,,
Aberdeenshire,3,female,65 to 69,20.89047,20.4193,21.36164,,,
Aberdeenshire,3,female,70 to 74,16.80383,16.35377,17.25388,,,
Aberdeenshire,3,female,75 to 79,12.90707,12.48047,13.33367,,,
Aberdeenshire,3,female,80 to 84,9.59321,9.19397,9.99246,,,
Aberdeenshire,3,female,85 to 89,6.55096,6.15932,6.94259,,,
Aberdeenshire,3,female,90+,4.28115,3.80686,4.75544,,,
Aberdeenshire,3,male,less than 1,79.72487,79.04676,80.40297,,,
Aberdeenshire,3,male,1 to 4,78.88123,78.22529,79.53718,,,
Aberdeenshire,3,male,5 to 9,74.97956,74.33709,75.62203,,,
Aberdeenshire,3,male,10 to 14,70.02154,69.38399,70.65909,,,
Aberdeenshire,3,male,15 to 19,65.06378,64.43122,65.69633,,,
Aberdeenshire,3,male,20 to 24,60.22147,59.60648,60.83645,,,
Aberdeenshire,3,male,25 to 29,55.30656,54.70209,55.91104,,,
Aberdeenshire,3,male,30 to 34,50.46634,49.88067,51.05201,,,
Aberdeenshire,3,male,35 to 39,45.82875,45.2792,46.37829,,,
Aberdeenshire,3,male,40 to 44,41.11714,40.59102,41.64325,,,
Aberdeenshire,3,male,45 to 49,36.29584,35.78041,36.81127,,,
Aberdeenshire,3,male,50 to 54,31.6613,31.16241,32.16019,,,
Aberdeenshire,3,male,55 to 59,27.01762,26.53107,27.50417,,,
Aberdeenshire,3,male,60 to 64,22.59304,22.12309,23.06298,,,
Aberdeenshire,3,male,65 to 69,18.42309,17.97396,18.87222,,,
Aberdeenshire,3,male,70 to 74,14.57356,14.14129,15.00584,,,
Aberdeenshire,3,male,75 to 79,10.90772,10.49462,11.32081,,,
Aberdeenshire,3,male,80 to 84,7.96985,7.57082,8.36887,,,
Aberdeenshire,3,male,85 to 89,5.55939,5.13608,5.9827,,,
Aberdeenshire,3,male,90+,4.06395,3.4566,4.67131,,,
Aberdeenshire,4,female,less than 1,84.0652,83.42431,84.70609,,,
Aberdeenshire,4,female,1 to 4,83.0652,82.42431,83.70609,,,
Aberdeenshire,4,female,5 to 9,79.11691,78.48368,79.75015,,,
Aberdeenshire,4,female,10 to 14,74.16175,73.53427,74.78922,,,
Aberdeenshire,4,female,15 to 19,69.16175,68.53427,69.78922,,,
Aberdeenshire,4,female,20 to 24,64.25854,63.64466,64.87242,,,
Aberdeenshire,4,female,25 to 29,59.25854,58.64466,59.87242,,,
Aberdeenshire,4,female,30 to 34,54.34717,53.74475,54.94959,,,
Aberdeenshire,4,female,35 to 39,49.49675,48.90703,50.08647,,,
Aberdeenshire,4,female,40 to 44,44.62206,44.04108,45.20303,,,
Aberdeenshire,4,female,45 to 49,39.75042,39.17683,40.32402,,,
Aberdeenshire,4,female,50 to 54,35.02904,34.46763,35.59044,,,
Aberdeenshire,4,female,55 to 59,30.27756,29.72524,30.82989,,,
Aberdeenshire,4,female,60 to 64,25.77621,25.24167,26.31074,,,
Aberdeenshire,4,female,65 to 69,21.40568,20.89006,21.9213,,,
Aberdeenshire,4,female,70 to 74,17.11594,16.61564,17.61625,,,
Aberdeenshire,4,female,75 to 79,13.0724,12.58844,13.55636,,,
Aberdeenshire,4,female,80 to 84,9.5562,9.08964,10.02276,,,
Aberdeenshire,4,female,85 to 89,6.73744,6.259,7.21589,,,
Aberdeenshire,4,female,90+,5.04651,4.43071,5.66231,,,
Aberdeenshire,4,male,less than 1,80.75154,80.07026,81.43283,,,
Aberdeenshire,4,male,1 to 4,79.96108,79.30971,80.61246,,,
Aberdeenshire,4,male,5 to 9,76.00866,75.3636,76.65373,,,
Aberdeenshire,4,male,10 to 14,71.00866,70.3636,71.65373,,,
Aberdeenshire,4,male,15 to 19,66.04936,65.40886,66.68986,,,
Aberdeenshire,4,male,20 to 24,61.1714,60.54474,61.79807,,,
Aberdeenshire,4,male,25 to 29,56.29593,55.68399,56.90787,,,
Aberdeenshire,4,male,30 to 34,51.49867,50.91079,52.08655,,,
Aberdeenshire,4,male,35 to 39,46.62307,46.04647,47.19966,,,
Aberdeenshire,4,male,40 to 44,41.79389,41.22912,42.35865,,,
Aberdeenshire,4,male,45 to 49,37.08548,36.53614,37.63483,,,
Aberdeenshire,4,male,50 to 54,32.32124,31.78222,32.86027,,,
Aberdeenshire,4,male,55 to 59,27.73945,27.2148,28.26411,,,
