"Table 7. Life expectancy in Scottish Parliamentary constituencies, 2016-2018",,,,,,,,
,,,,,,,,
Scottish Parliamentary Constituency,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,,,
Angus North and Mearns,female,5 to 9,77.50,76.81,78.19,,,
Angus North and Mearns,female,10 to 14,72.50,71.81,73.19,,,
Angus North and Mearns,female,15 to 19,67.50,66.81,68.19,,,
Angus North and Mearns,female,20 to 24,62.50,61.81,63.19,,,
Angus North and Mearns,female,25 to 29,57.67,57.01,58.34,,,
Angus North and Mearns,female,30 to 34,52.72,52.07,53.38,,,
Angus North and Mearns,female,35 to 39,47.93,47.29,48.56,,,
Angus North and Mearns,female,40 to 44,43.07,42.44,43.69,,,
Angus North and Mearns,female,45 to 49,38.47,37.88,39.06,,,
Angus North and Mearns,female,50 to 54,33.79,33.22,34.36,,,
Angus North and Mearns,female,55 to 59,29.19,28.64,29.75,,,
Angus North and Mearns,female,60 to 64,24.87,24.34,25.39,,,
Angus North and Mearns,female,65 to 69,20.60,20.10,21.10,,,
Angus North and Mearns,female,70 to 74,16.44,15.96,16.91,,,
Angus North and Mearns,female,75 to 79,12.63,12.18,13.08,,,
Angus North and Mearns,female,80 to 84,9.55,9.12,9.98,,,
Angus North and Mearns,female,85 to 89,6.71,6.28,7.14,,,
Angus North and Mearns,female,90+,4.91,4.37,5.45,,,
Angus North and Mearns,male,less than 1,78.50,77.67,79.33,,,
Angus North and Mearns,male,1 to 4,77.88,77.11,78.65,,,
Angus North and Mearns,male,5 to 9,73.94,73.19,74.70,,,
Angus North and Mearns,male,10 to 14,69.00,68.25,69.75,,,
Angus North and Mearns,male,15 to 19,64.00,63.25,64.75,,,
Angus North and Mearns,male,20 to 24,59.10,58.37,59.84,,,
Angus North and Mearns,male,25 to 29,54.25,53.53,54.97,,,
Angus North and Mearns,male,30 to 34,49.40,48.69,50.10,,,
Angus North and Mearns,male,35 to 39,44.81,44.15,45.47,,,
Angus North and Mearns,male,40 to 44,40.13,39.50,40.76,,,
Angus North and Mearns,male,45 to 49,35.48,34.88,36.09,,,
Angus North and Mearns,male,50 to 54,30.95,30.37,31.53,,,
Angus North and Mearns,male,55 to 59,26.55,26.00,27.11,,,
Angus North and Mearns,male,60 to 64,22.22,21.68,22.76,,,
Angus North and Mearns,male,65 to 69,18.31,17.80,18.82,,,
Angus North and Mearns,male,70 to 74,14.56,14.07,15.04,,,
Angus North and Mearns,male,75 to 79,11.08,10.62,11.55,,,
Angus North and Mearns,male,80 to 84,8.22,7.76,8.67,,,
Angus North and Mearns,male,85 to 89,5.91,5.42,6.40,,,
Angus North and Mearns,male,90+,4.21,3.52,4.90,,,
Angus South,female,less than 1,81.55,80.74,82.36,,,
Angus South,female,1 to 4,81.10,80.42,81.78,,,
Angus South,female,5 to 9,77.18,76.51,77.84,,,
Angus South,female,10 to 14,72.24,71.59,72.89,,,
Angus South,female,15 to 19,67.30,66.66,67.94,,,
Angus South,female,20 to 24,62.36,61.72,62.99,,,
Angus South,female,25 to 29,57.41,56.79,58.04,,,
Angus South,female,30 to 34,52.57,51.97,53.17,,,
Angus South,female,35 to 39,47.65,47.06,48.24,,,
Angus South,female,40 to 44,42.87,42.30,43.44,,,
Angus South,female,45 to 49,37.97,37.41,38.53,,,
Angus South,female,50 to 54,33.28,32.74,33.82,,,
Angus South,female,55 to 59,28.78,28.27,29.30,,,
Angus South,female,60 to 64,24.53,24.05,25.02,,,
Angus South,female,65 to 69,20.38,19.93,20.83,,,
Angus South,female,70 to 74,16.28,15.86,16.71,,,
Angus South,female,75 to 79,12.40,11.99,12.81,,,
Angus South,female,80 to 84,9.07,8.69,9.46,,,
Angus South,female,85 to 89,6.31,5.92,6.69,,,
Angus South,female,90+,4.72,4.22,5.22,,,
Angus South,male,less than 1,78.57,77.80,79.34,,,
Angus South,male,1 to 4,77.80,77.07,78.52,,,
Angus South,male,5 to 9,73.80,73.07,74.52,,,
Angus South,male,10 to 14,68.80,68.07,69.52,,,
Angus South,male,15 to 19,63.80,63.07,64.52,,,
Angus South,male,20 to 24,58.94,58.23,59.65,,,
Angus South,male,25 to 29,53.99,53.29,54.69,,,
Angus South,male,30 to 34,49.22,48.55,49.90,,,
Angus South,male,35 to 39,44.52,43.88,45.17,,,
Angus South,male,40 to 44,39.92,39.31,40.53,,,
Angus South,male,45 to 49,35.27,34.69,35.84,,,
Angus South,male,50 to 54,30.69,30.14,31.24,,,
Angus South,male,55 to 59,26.32,25.79,26.84,,,
Angus South,male,60 to 64,22.02,21.52,22.52,,,
Angus South,male,65 to 69,18.22,17.77,18.68,,,
Angus South,male,70 to 74,14.47,14.04,14.90,,,
Angus South,male,75 to 79,10.91,10.50,11.33,,,
Angus South,male,80 to 84,7.98,7.58,8.38,,,
Angus South,male,85 to 89,5.69,5.28,6.11,,,
Angus South,male,90+,3.69,3.13,4.25,,,
Argyll and Bute,female,less than 1,81.59,80.72,82.47,,,
Argyll and Bute,female,1 to 4,80.96,80.19,81.73,,,
Argyll and Bute,female,5 to 9,77.06,76.32,77.81,,,
Argyll and Bute,female,10 to 14,72.15,71.42,72.87,,,
Argyll and Bute,female,15 to 19,67.31,66.62,68.00,,,
Argyll and Bute,female,20 to 24,62.46,61.80,63.12,,,
Argyll and Bute,female,25 to 29,57.46,56.80,58.12,,,
Argyll and Bute,female,30 to 34,52.46,51.80,53.12,,,
Argyll and Bute,female,35 to 39,47.52,46.87,48.17,,,
Argyll and Bute,female,40 to 44,42.83,42.22,43.44,,,
Argyll and Bute,female,45 to 49,38.06,37.48,38.65,,,
Argyll and Bute,female,50 to 54,33.42,32.87,33.98,,,
Argyll and Bute,female,55 to 59,28.83,28.29,29.36,,,
Argyll and Bute,female,60 to 64,24.61,24.11,25.11,,,
Argyll and Bute,female,65 to 69,20.39,19.92,20.85,,,
Argyll and Bute,female,70 to 74,16.30,15.86,16.74,,,
Argyll and Bute,female,75 to 79,12.42,12.01,12.84,,,
Argyll and Bute,female,80 to 84,9.33,8.94,9.73,,,
Argyll and Bute,female,85 to 89,6.50,6.12,6.89,,,
Argyll and Bute,female,90+,4.17,3.71,4.63,,,
Argyll and Bute,male,less than 1,77.18,76.28,78.09,,,
Argyll and Bute,male,1 to 4,76.18,75.28,77.09,,,
Argyll and Bute,male,5 to 9,72.28,71.39,73.16,,,
Argyll and Bute,male,10 to 14,67.28,66.39,68.16,,,
Argyll and Bute,male,15 to 19,62.35,61.47,63.23,,,
Argyll and Bute,male,20 to 24,57.54,56.68,58.39,,,
Argyll and Bute,male,25 to 29,52.65,51.81,53.49,,,
Argyll and Bute,male,30 to 34,48.33,47.58,49.08,,,
Argyll and Bute,male,35 to 39,43.56,42.83,44.28,,,
Argyll and Bute,male,40 to 44,38.95,38.28,39.63,,,
Argyll and Bute,male,45 to 49,34.48,33.87,35.10,,,
Argyll and Bute,male,50 to 54,30.08,29.50,30.66,,,
Argyll and Bute,male,55 to 59,25.76,25.21,26.30,,,
Argyll and Bute,male,60 to 64,21.60,21.09,22.12,,,
Argyll and Bute,male,65 to 69,17.83,17.36,18.31,,,
Argyll and Bute,male,70 to 74,14.34,13.90,14.79,,,
Argyll and Bute,male,75 to 79,11.11,10.68,11.54,,,
Argyll and Bute,male,80 to 84,7.99,7.57,8.40,,,
Argyll and Bute,male,85 to 89,5.45,5.01,5.90,,,
Argyll and Bute,male,90+,3.74,3.08,4.40,,,
Ayr,female,less than 1,81.05,80.25,81.86,,,
Ayr,female,1 to 4,80.32,79.57,81.07,,,
Ayr,female,5 to 9,76.40,75.67,77.13,,,
Ayr,female,10 to 14,71.47,70.75,72.19,,,
Ayr,female,15 to 19,66.47,65.75,67.19,,,
Ayr,female,20 to 24,61.52,60.81,62.23,,,
Ayr,female,25 to 29,56.72,56.03,57.40,,,
Ayr,female,30 to 34,52.00,51.35,52.65,,,
Ayr,female,35 to 39,47.26,46.64,47.88,,,
Ayr,female,40 to 44,42.71,42.14,43.29,,,
Ayr,female,45 to 49,38.14,37.61,38.68,,,
Ayr,female,50 to 54,33.51,33.00,34.02,,,
Ayr,female,55 to 59,29.00,28.51,29.48,,,
Ayr,female,60 to 64,24.54,24.08,25.00,,,
Ayr,female,65 to 69,20.29,19.86,20.73,,,
Ayr,female,70 to 74,16.24,15.82,16.65,,,
Ayr,female,75 to 79,12.59,12.19,12.98,,,
Ayr,female,80 to 84,9.44,9.07,9.82,,,
Ayr,female,85 to 89,6.63,6.25,7.02,,,
Ayr,female,90+,5.09,4.58,5.60,,,
