"Table 7. Life expectancy in Scottish Parliamentary constituencies, 2016-2018",,,,,,,,
,,,,,,,,
Scottish Parliamentary Constituency,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,,,
Edinburgh Eastern,male,35 to 39,41.87,41.22,42.52,,,
Edinburgh Eastern,male,40 to 44,37.30,36.67,37.94,,,
Edinburgh Eastern,male,45 to 49,32.94,32.34,33.54,,,
Edinburgh Eastern,male,50 to 54,28.54,27.96,29.12,,,
Edinburgh Eastern,male,55 to 59,24.57,24.03,25.12,,,
Edinburgh Eastern,male,60 to 64,20.54,20.02,21.05,,,
Edinburgh Eastern,male,65 to 69,16.70,16.21,17.19,,,
Edinburgh Eastern,male,70 to 74,13.18,12.71,13.64,,,
Edinburgh Eastern,male,75 to 79,10.23,9.79,10.67,,,
Edinburgh Eastern,male,80 to 84,7.82,7.40,8.23,,,
Edinburgh Eastern,male,85 to 89,5.71,5.27,6.16,,,
Edinburgh Eastern,male,90+,3.93,3.32,4.53,,,
Edinburgh Northern and Leith,female,less than 1,80.11683,79.40671,80.83,,,
Edinburgh Northern and Leith,female,1 to 4,79.32677,78.64523,80.01,,,
Edinburgh Northern and Leith,female,5 to 9,75.32677,74.64523,76.01,,,
Edinburgh Northern and Leith,female,10 to 14,70.32677,69.64523,71.01,,,
Edinburgh Northern and Leith,female,15 to 19,65.39804,64.73025,66.07,,,
Edinburgh Northern and Leith,female,20 to 24,60.47069,59.8175,61.12,,,
Edinburgh Northern and Leith,female,25 to 29,55.47069,54.8175,56.12,,,
Edinburgh Northern and Leith,female,30 to 34,50.51127,49.8592,51.16,,,
Edinburgh Northern and Leith,female,35 to 39,45.64761,44.99918,46.30,,,
Edinburgh Northern and Leith,female,40 to 44,40.77376,40.12935,41.42,,,
Edinburgh Northern and Leith,female,45 to 49,36.01435,35.38043,36.65,,,
Edinburgh Northern and Leith,female,50 to 54,31.52613,30.91264,32.14,,,
Edinburgh Northern and Leith,female,55 to 59,27.03754,26.4432,27.63,,,
Edinburgh Northern and Leith,female,60 to 64,22.67865,22.1048,23.25,,,
Edinburgh Northern and Leith,female,65 to 69,18.64073,18.09992,19.18,,,
Edinburgh Northern and Leith,female,70 to 74,14.71008,14.19867,15.22,,,
Edinburgh Northern and Leith,female,75 to 79,11.2731,10.80518,11.74,,,
Edinburgh Northern and Leith,female,80 to 84,8.60839,8.19391,9.02,,,
Edinburgh Northern and Leith,female,85 to 89,5.97729,5.58642,6.37,,,
Edinburgh Northern and Leith,female,90+,4.10247,3.62449,4.58,,,
Edinburgh Northern and Leith,male,less than 1,76.58295,75.82655,77.34,,,
Edinburgh Northern and Leith,male,1 to 4,75.99885,75.28881,76.71,,,
Edinburgh Northern and Leith,male,5 to 9,71.99885,71.28881,72.71,,,
Edinburgh Northern and Leith,male,10 to 14,67.1029,66.4066,67.80,,,
Edinburgh Northern and Leith,male,15 to 19,62.16734,61.4819,62.85,,,
Edinburgh Northern and Leith,male,20 to 24,57.16734,56.4819,57.85,,,
Edinburgh Northern and Leith,male,25 to 29,52.39967,51.73701,53.06,,,
Edinburgh Northern and Leith,male,30 to 34,47.5304,46.87153,48.19,,,
Edinburgh Northern and Leith,male,35 to 39,42.75568,42.10178,43.41,,,
Edinburgh Northern and Leith,male,40 to 44,37.99179,37.34375,38.64,,,
Edinburgh Northern and Leith,male,45 to 49,33.27547,32.63644,33.91,,,
Edinburgh Northern and Leith,male,50 to 54,28.80599,28.18212,29.43,,,
Edinburgh Northern and Leith,male,55 to 59,24.61967,24.01543,25.22,,,
Edinburgh Northern and Leith,male,60 to 64,20.63944,20.05876,21.22,,,
Edinburgh Northern and Leith,male,65 to 69,16.85009,16.2972,17.40,,,
Edinburgh Northern and Leith,male,70 to 74,13.05753,12.52608,13.59,,,
Edinburgh Northern and Leith,male,75 to 79,10.12956,9.63198,10.63,,,
Edinburgh Northern and Leith,male,80 to 84,7.57172,7.10594,8.04,,,
Edinburgh Northern and Leith,male,85 to 89,5.38538,4.91086,5.86,,,
Edinburgh Northern and Leith,male,90+,3.75912,3.12964,4.39,,,
Edinburgh Pentlands,female,less than 1,83.19353,82.43829,83.95,,,
Edinburgh Pentlands,female,1 to 4,82.2639,81.52071,83.01,,,
Edinburgh Pentlands,female,5 to 9,78.32566,77.59183,79.06,,,
Edinburgh Pentlands,female,10 to 14,73.32566,72.59183,74.06,,,
Edinburgh Pentlands,female,15 to 19,68.44458,67.72826,69.16,,,
Edinburgh Pentlands,female,20 to 24,63.49684,62.78731,64.21,,,
Edinburgh Pentlands,female,25 to 29,58.49684,57.78731,59.21,,,
Edinburgh Pentlands,female,30 to 34,53.59435,52.89223,54.30,,,
Edinburgh Pentlands,female,35 to 39,48.72915,48.03771,49.42,,,
Edinburgh Pentlands,female,40 to 44,43.84908,43.16591,44.53,,,
Edinburgh Pentlands,female,45 to 49,39.23323,38.5764,39.89,,,
Edinburgh Pentlands,female,50 to 54,34.51776,33.87588,35.16,,,
Edinburgh Pentlands,female,55 to 59,29.98768,29.36577,30.61,,,
Edinburgh Pentlands,female,60 to 64,25.572,24.97186,26.17,,,
Edinburgh Pentlands,female,65 to 69,21.43788,20.86739,22.01,,,
Edinburgh Pentlands,female,70 to 74,17.43516,16.88688,17.98,,,
Edinburgh Pentlands,female,75 to 79,13.65145,13.12142,14.18,,,
Edinburgh Pentlands,female,80 to 84,10.45361,9.9425,10.96,,,
Edinburgh Pentlands,female,85 to 89,7.63119,7.10314,8.16,,,
Edinburgh Pentlands,female,90+,5.19679,4.55129,5.84,,,
Edinburgh Pentlands,male,less than 1,79.14054,78.2759,80.01,,,
Edinburgh Pentlands,male,1 to 4,78.46783,77.64859,79.29,,,
Edinburgh Pentlands,male,5 to 9,74.58147,73.7763,75.39,,,
Edinburgh Pentlands,male,10 to 14,69.67957,68.88486,70.47,,,
Edinburgh Pentlands,male,15 to 19,64.67957,63.88486,65.47,,,
Edinburgh Pentlands,male,20 to 24,59.71852,58.92699,60.51,,,
Edinburgh Pentlands,male,25 to 29,54.85737,54.0757,55.64,,,
Edinburgh Pentlands,male,30 to 34,50.01141,49.23722,50.79,,,
Edinburgh Pentlands,male,35 to 39,45.3839,44.63288,46.13,,,
Edinburgh Pentlands,male,40 to 44,40.7,39.96705,41.43,,,
Edinburgh Pentlands,male,45 to 49,36.09712,35.38463,36.81,,,
Edinburgh Pentlands,male,50 to 54,31.68758,30.99966,32.38,,,
Edinburgh Pentlands,male,55 to 59,27.39718,26.73162,28.06,,,
Edinburgh Pentlands,male,60 to 64,23.44571,22.80918,24.08,,,
Edinburgh Pentlands,male,65 to 69,19.4371,18.8237,20.05,,,
Edinburgh Pentlands,male,70 to 74,15.62111,15.02146,16.22,,,
Edinburgh Pentlands,male,75 to 79,12.16844,11.57259,12.76,,,
Edinburgh Pentlands,male,80 to 84,8.92942,8.3288,9.53,,,
Edinburgh Pentlands,male,85 to 89,6.75241,6.055,7.45,,,
Edinburgh Pentlands,male,90+,5.05,4.0602,6.04,,,
Edinburgh Southern,female,less than 1,83.84965,83.20074,84.50,,,
Edinburgh Southern,female,1 to 4,82.9424,82.31876,83.57,,,
Edinburgh Southern,female,5 to 9,79.02282,78.41881,79.63,,,
Edinburgh Southern,female,10 to 14,74.02282,73.41881,74.63,,,
Edinburgh Southern,female,15 to 19,69.02282,68.41881,69.63,,,
Edinburgh Southern,female,20 to 24,64.02282,63.41881,64.63,,,
Edinburgh Southern,female,25 to 29,59.11624,58.51688,59.72,,,
Edinburgh Southern,female,30 to 34,54.13681,53.53859,54.74,,,
Edinburgh Southern,female,35 to 39,49.29078,48.7036,49.88,,,
Edinburgh Southern,female,40 to 44,44.41023,43.83335,44.99,,,
Edinburgh Southern,female,45 to 49,39.50119,38.93231,40.07,,,
Edinburgh Southern,female,50 to 54,34.79555,34.24706,35.34,,,
Edinburgh Southern,female,55 to 59,30.13415,29.60736,30.66,,,
Edinburgh Southern,female,60 to 64,25.53207,25.02899,26.04,,,
Edinburgh Southern,female,65 to 69,21.03998,20.56521,21.51,,,
Edinburgh Southern,female,70 to 74,16.73328,16.28826,17.18,,,
Edinburgh Southern,female,75 to 79,12.75814,12.35437,13.16,,,
Edinburgh Southern,female,80 to 84,9.21002,8.85852,9.56,,,
Edinburgh Southern,female,85 to 89,6.19995,5.89173,6.51,,,
Edinburgh Southern,female,90+,4.00769,3.66322,4.35,,,
Edinburgh Southern,male,less than 1,79.66645,78.84114,80.49,,,
Edinburgh Southern,male,1 to 4,79.19775,78.46679,79.93,,,
Edinburgh Southern,male,5 to 9,75.19775,74.46679,75.93,,,
Edinburgh Southern,male,10 to 14,70.2613,69.5404,70.98,,,
Edinburgh Southern,male,15 to 19,65.2613,64.5404,65.98,,,
Edinburgh Southern,male,20 to 24,60.44759,59.75606,61.14,,,
Edinburgh Southern,male,25 to 29,55.50992,54.82124,56.20,,,
Edinburgh Southern,male,30 to 34,50.63039,49.94693,51.31,,,
Edinburgh Southern,male,35 to 39,45.74649,45.06899,46.42,,,
Edinburgh Southern,male,40 to 44,40.90356,40.23536,41.57,,,
Edinburgh Southern,male,45 to 49,36.33373,35.69216,36.98,,,
Edinburgh Southern,male,50 to 54,31.7524,31.13273,32.37,,,
Edinburgh Southern,male,55 to 59,27.23192,26.63388,27.83,,,
Edinburgh Southern,male,60 to 64,22.67469,22.09397,23.26,,,
Edinburgh Southern,male,65 to 69,18.40941,17.85521,18.96,,,
Edinburgh Southern,male,70 to 74,14.78843,14.26743,15.31,,,
Edinburgh Southern,male,75 to 79,11.20202,10.71304,11.69,,,
Edinburgh Southern,male,80 to 84,8.33478,7.89791,8.77,,,
Edinburgh Southern,male,85 to 89,5.58814,5.16986,6.01,,,
Edinburgh Southern,male,90+,3.73711,3.21123,4.26,,,
Edinburgh Western,female,less than 1,84.11789,83.42588,84.81,,,
Edinburgh Western,female,1 to 4,83.29188,82.62703,83.96,,,
Edinburgh Western,female,5 to 9,79.34496,78.68787,80.00,,,
Edinburgh Western,female,10 to 14,74.34496,73.68787,75.00,,,
Edinburgh Western,female,15 to 19,69.34496,68.68787,70.00,,,
Edinburgh Western,female,20 to 24,64.40497,63.7579,65.05,,,
Edinburgh Western,female,25 to 29,59.46181,58.82381,60.10,,,
Edinburgh Western,female,30 to 34,54.55459,53.92424,55.18,,,
Edinburgh Western,female,35 to 39,49.69631,49.07661,50.32,,,
Edinburgh Western,female,40 to 44,44.92692,44.32279,45.53,,,
Edinburgh Western,female,45 to 49,40.14819,39.55846,40.74,,,
Edinburgh Western,female,50 to 54,35.42157,34.84658,36.00,,,
Edinburgh Western,female,55 to 59,30.68067,30.11631,31.25,,,
Edinburgh Western,female,60 to 64,26.16716,25.61966,26.71,,,
Edinburgh Western,female,65 to 69,21.8935,21.37194,22.42,,,
Edinburgh Western,female,70 to 74,17.82518,17.33103,18.32,,,
Edinburgh Western,female,75 to 79,13.98041,13.51166,14.45,,,
Edinburgh Western,female,80 to 84,10.46974,10.02305,10.92,,,
Edinburgh Western,female,85 to 89,7.23333,6.77425,7.69,,,
Edinburgh Western,female,90+,4.95699,4.37533,5.54,,,
Edinburgh Western,male,less than 1,79.99991,79.26148,80.74,,,
Edinburgh Western,male,1 to 4,79.17165,78.45767,79.89,,,
Edinburgh Western,male,5 to 9,75.219,74.51063,75.93,,,
Edinburgh Western,male,10 to 14,70.219,69.51063,70.93,,,
Edinburgh Western,male,15 to 19,65.219,64.51063,65.93,,,
Edinburgh Western,male,20 to 24,60.27066,59.56899,60.97,,,
Edinburgh Western,male,25 to 29,55.42749,54.74673,56.11,,,
Edinburgh Western,male,30 to 34,50.67473,50.01269,51.34,,,
Edinburgh Western,male,35 to 39,46.12781,45.50051,46.76,,,
Edinburgh Western,male,40 to 44,41.4409,40.83462,42.05,,,
Edinburgh Western,male,45 to 49,36.56151,35.96264,37.16,,,
Edinburgh Western,male,50 to 54,32.17918,31.61029,32.75,,,
Edinburgh Western,male,55 to 59,27.66924,27.11963,28.22,,,
Edinburgh Western,male,60 to 64,23.2589,22.72849,23.79,,,
Edinburgh Western,male,65 to 69,18.97803,18.46975,19.49,,,
Edinburgh Western,male,70 to 74,14.98742,14.50363,15.47,,,
Edinburgh Western,male,75 to 79,11.65166,11.20526,12.10,,,
Edinburgh Western,male,80 to 84,8.4928,8.08059,8.91,,,
Edinburgh Western,male,85 to 89,5.85643,5.4387,6.27,,,
Edinburgh Western,male,90+,3.69832,3.15653,4.24,,,
"Ettrick, Roxburgh and Berwickshire",female,less than 1,81.86505,81.10189,82.63,,,
"Ettrick, Roxburgh and Berwickshire",female,1 to 4,81.05771,80.34099,81.77,,,
"Ettrick, Roxburgh and Berwickshire",female,5 to 9,77.05771,76.34099,77.77,,,
"Ettrick, Roxburgh and Berwickshire",female,10 to 14,72.05771,71.34099,72.77,,,
"Ettrick, Roxburgh and Berwickshire",female,15 to 19,67.05771,66.34099,67.77,,,
"Ettrick, Roxburgh and Berwickshire",female,20 to 24,62.12334,61.41752,62.83,,,
"Ettrick, Roxburgh and Berwickshire",female,25 to 29,57.25516,56.57184,57.94,,,
"Ettrick, Roxburgh and Berwickshire",female,30 to 34,52.51157,51.87291,53.15,,,
"Ettrick, Roxburgh and Berwickshire",female,35 to 39,47.72295,47.11611,48.33,,,
"Ettrick, Roxburgh and Berwickshire",female,40 to 44,42.95617,42.38168,43.53,,,
"Ettrick, Roxburgh and Berwickshire",female,45 to 49,38.10283,37.54453,38.66,,,
"Ettrick, Roxburgh and Berwickshire",female,50 to 54,33.40398,32.86549,33.94,,,
"Ettrick, Roxburgh and Berwickshire",female,55 to 59,28.98605,28.47657,29.50,,,
"Ettrick, Roxburgh and Berwickshire",female,60 to 64,24.54005,24.0541,25.03,,,
"Ettrick, Roxburgh and Berwickshire",female,65 to 69,20.31793,19.86127,20.77,,,
"Ettrick, Roxburgh and Berwickshire",female,70 to 74,16.43255,16.00395,16.86,,,
"Ettrick, Roxburgh and Berwickshire",female,75 to 79,12.66304,12.25547,13.07,,,
"Ettrick, Roxburgh and Berwickshire",female,80 to 84,9.2862,8.89884,9.67,,,
"Ettrick, Roxburgh and Berwickshire",female,85 to 89,6.54593,6.15811,6.93,,,
"Ettrick, Roxburgh and Berwickshire",female,90+,4.30503,3.83186,4.78,,,
"Ettrick, Roxburgh and Berwickshire",male,less than 1,78.72051,77.86253,79.58,,,
"Ettrick, Roxburgh and Berwickshire",male,1 to 4,77.97669,77.16637,78.79,,,
"Ettrick, Roxburgh and Berwickshire",male,5 to 9,73.97669,73.16637,74.79,,,
"Ettrick, Roxburgh and Berwickshire",male,10 to 14,68.97669,68.16637,69.79,,,
"Ettrick, Roxburgh and Berwickshire",male,15 to 19,63.97669,63.16637,64.79,,,
"Ettrick, Roxburgh and Berwickshire",male,20 to 24,59.09937,58.30547,59.89,,,
"Ettrick, Roxburgh and Berwickshire",male,25 to 29,54.33029,53.56609,55.09,,,
"Ettrick, Roxburgh and Berwickshire",male,30 to 34,49.67784,48.96089,50.39,,,
"Ettrick, Roxburgh and Berwickshire",male,35 to 39,45.02482,44.35853,45.69,,,
"Ettrick, Roxburgh and Berwickshire",male,40 to 44,40.58534,39.99051,41.18,,,
"Ettrick, Roxburgh and Berwickshire",male,45 to 49,35.99675,35.44743,36.55,,,
"Ettrick, Roxburgh and Berwickshire",male,50 to 54,31.31583,30.78938,31.84,,,
"Ettrick, Roxburgh and Berwickshire",male,55 to 59,26.86505,26.36532,27.36,,,
"Ettrick, Roxburgh and Berwickshire",male,60 to 64,22.57058,22.09885,23.04,,,
"Ettrick, Roxburgh and Berwickshire",male,65 to 69,18.57652,18.14123,19.01,,,
"Ettrick, Roxburgh and Berwickshire",male,70 to 74,14.65661,14.24507,15.07,,,
"Ettrick, Roxburgh and Berwickshire",male,75 to 79,11.04251,10.64927,11.44,,,
"Ettrick, Roxburgh and Berwickshire",male,80 to 84,7.95913,7.58316,8.34,,,
"Ettrick, Roxburgh and Berwickshire",male,85 to 89,5.41206,5.02904,5.80,,,
"Ettrick, Roxburgh and Berwickshire",male,90+,3.58282,3.03279,4.13,,,
Falkirk East,female,less than 1,80.93862,80.21916,81.66,,,
Falkirk East,female,1 to 4,80.43881,79.81762,81.06,,,
Falkirk East,female,5 to 9,76.43881,75.81762,77.06,,,
Falkirk East,female,10 to 14,71.43881,70.81762,72.06,,,
Falkirk East,female,15 to 19,66.43881,65.81762,67.06,,,
Falkirk East,female,20 to 24,61.43881,60.81762,62.06,,,
Falkirk East,female,25 to 29,56.52906,55.91963,57.14,,,
Falkirk East,female,30 to 34,51.60432,51.00304,52.21,,,
Falkirk East,female,35 to 39,46.66629,46.07042,47.26,,,
Falkirk East,female,40 to 44,41.86036,41.27947,42.44,,,
Falkirk East,female,45 to 49,37.199,36.64086,37.76,,,
Falkirk East,female,50 to 54,32.53126,31.98929,33.07,,,
Falkirk East,female,55 to 59,28.01411,27.49075,28.54,,,
Falkirk East,female,60 to 64,23.71177,23.21271,24.21,,,
Falkirk East,female,65 to 69,19.61733,19.14974,20.08,,,
Falkirk East,female,70 to 74,15.63552,15.19239,16.08,,,
Falkirk East,female,75 to 79,11.93496,11.51581,12.35,,,
Falkirk East,female,80 to 84,8.59363,8.19156,9.00,,,
Falkirk East,female,85 to 89,6.17625,5.76336,6.59,,,
Falkirk East,female,90+,4.21012,3.69538,4.72,,,
Falkirk East,male,less than 1,78.19976,77.43659,78.96,,,
Falkirk East,male,1 to 4,77.3219,76.57656,78.07,,,
Falkirk East,male,5 to 9,73.433,72.70263,74.16,,,
Falkirk East,male,10 to 14,68.48286,67.75855,69.21,,,
Falkirk East,male,15 to 19,63.53173,62.81324,64.25,,,
Falkirk East,male,20 to 24,58.66535,57.96138,59.37,,,
Falkirk East,male,25 to 29,53.78198,53.08903,54.47,,,
Falkirk East,male,30 to 34,48.89575,48.21332,49.58,,,
Falkirk East,male,35 to 39,44.06243,43.39338,44.73,,,
Falkirk East,male,40 to 44,39.34406,38.69364,39.99,,,
Falkirk East,male,45 to 49,34.88422,34.26467,35.50,,,
Falkirk East,male,50 to 54,30.33624,29.73391,30.94,,,
Falkirk East,male,55 to 59,25.84014,25.25121,26.43,,,
Falkirk East,male,60 to 64,21.70286,21.13335,22.27,,,
Falkirk East,male,65 to 69,17.87025,17.32429,18.42,,,
Falkirk East,male,70 to 74,14.15062,13.6147,14.69,,,
Falkirk East,male,75 to 79,10.9802,10.43922,11.52,,,
Falkirk East,male,80 to 84,8.40534,7.8321,8.98,,,
Falkirk East,male,85 to 89,6.4787,5.77832,7.18,,,
Falkirk East,male,90+,5.38144,4.31049,6.45,,,
Falkirk West,female,less than 1,79.66867,78.93381,80.40,,,
Falkirk West,female,1 to 4,78.88574,78.19114,79.58,,,
Falkirk West,female,5 to 9,74.88574,74.19114,75.58,,,
Falkirk West,female,10 to 14,69.98935,69.30877,70.67,,,
Falkirk West,female,15 to 19,65.09425,64.42831,65.76,,,
Falkirk West,female,20 to 24,60.09425,59.42831,60.76,,,
Falkirk West,female,25 to 29,55.2267,54.57632,55.88,,,
Falkirk West,female,30 to 34,50.49096,49.86747,51.11,,,
Falkirk West,female,35 to 39,45.77667,45.17807,46.38,,,
Falkirk West,female,40 to 44,41.05172,40.47411,41.63,,,
Falkirk West,female,45 to 49,36.51133,35.96307,37.06,,,
Falkirk West,female,50 to 54,31.7599,31.22332,32.30,,,
Falkirk West,female,55 to 59,27.28952,26.7736,27.81,,,
Falkirk West,female,60 to 64,22.92234,22.43096,23.41,,,
Falkirk West,female,65 to 69,18.69711,18.23257,19.16,,,
Falkirk West,female,70 to 74,14.78561,14.34697,15.22,,,
Falkirk West,female,75 to 79,11.581,11.18027,11.98,,,
Falkirk West,female,80 to 84,8.60625,8.23668,8.98,,,
Falkirk West,female,85 to 89,5.92906,5.5666,6.29,,,
Falkirk West,female,90+,4.03356,3.57559,4.49,,,
Falkirk West,male,less than 1,76.06997,75.24641,76.89,,,
Falkirk West,male,1 to 4,75.51636,74.75726,76.28,,,
Falkirk West,male,5 to 9,71.57195,70.82013,72.32,,,
Falkirk West,male,10 to 14,66.57195,65.82013,67.32,,,
Falkirk West,male,15 to 19,61.57195,60.82013,62.32,,,
Falkirk West,male,20 to 24,56.83717,56.11254,57.56,,,
Falkirk West,male,25 to 29,51.99524,51.28526,52.71,,,
Falkirk West,male,30 to 34,47.42149,46.7476,48.10,,,
Falkirk West,male,35 to 39,42.81138,42.16876,43.45,,,
Falkirk West,male,40 to 44,38.10313,37.47941,38.73,,,
Falkirk West,male,45 to 49,33.72032,33.12917,34.31,,,
Falkirk West,male,50 to 54,29.48422,28.92134,30.05,,,
Falkirk West,male,55 to 59,25.04387,24.49817,25.59,,,
Falkirk West,male,60 to 64,20.9039,20.38105,21.43,,,
Falkirk West,male,65 to 69,17.10696,16.6173,17.60,,,
Falkirk West,male,70 to 74,13.63961,13.1742,14.11,,,
Falkirk West,male,75 to 79,10.44037,9.99236,10.89,,,
Falkirk West,male,80 to 84,7.72803,7.29405,8.16,,,
Falkirk West,male,85 to 89,5.7464,5.26096,6.23,,,
Falkirk West,male,90+,3.92308,3.24869,4.60,,,
Galloway and West Dumfries,female,less than 1,81.62051,80.88664,82.35,,,
Galloway and West Dumfries,female,1 to 4,80.70499,79.98929,81.42,,,
Galloway and West Dumfries,female,5 to 9,76.70499,75.98929,77.42,,,
Galloway and West Dumfries,female,10 to 14,71.70499,70.98929,72.42,,,
Galloway and West Dumfries,female,15 to 19,66.70499,65.98929,67.42,,,
Galloway and West Dumfries,female,20 to 24,62.00943,61.34193,62.68,,,
Galloway and West Dumfries,female,25 to 29,57.119,56.46777,57.77,,,
Galloway and West Dumfries,female,30 to 34,52.31505,51.69047,52.94,,,
Galloway and West Dumfries,female,35 to 39,47.49076,46.88819,48.09,,,
Galloway and West Dumfries,female,40 to 44,42.85519,42.29675,43.41,,,
Galloway and West Dumfries,female,45 to 49,38.17448,37.65204,38.70,,,
Galloway and West Dumfries,female,50 to 54,33.52702,33.03081,34.02,,,
Galloway and West Dumfries,female,55 to 59,28.94429,28.47031,29.42,,,
Galloway and West Dumfries,female,60 to 64,24.39361,23.93968,24.85,,,
Galloway and West Dumfries,female,65 to 69,20.07441,19.64654,20.50,,,
Galloway and West Dumfries,female,70 to 74,16.17394,15.77546,16.57,,,
Galloway and West Dumfries,female,75 to 79,12.43673,12.0632,12.81,,,
Galloway and West Dumfries,female,80 to 84,9.09172,8.74807,9.44,,,
Galloway and West Dumfries,female,85 to 89,6.24497,5.90946,6.58,,,
Galloway and West Dumfries,female,90+,4.04582,3.63413,4.46,,,
Galloway and West Dumfries,male,less than 1,77.74105,76.93697,78.55,,,
Galloway and West Dumfries,male,1 to 4,76.90351,76.12992,77.68,,,
Galloway and West Dumfries,male,5 to 9,72.90351,72.12992,73.68,,,
Galloway and West Dumfries,male,10 to 14,67.96488,67.20002,68.73,,,
Galloway and West Dumfries,male,15 to 19,62.96488,62.20002,63.73,,,
Galloway and West Dumfries,male,20 to 24,58.12465,57.37945,58.87,,,
Galloway and West Dumfries,male,25 to 29,53.26647,52.53685,54.00,,,
Galloway and West Dumfries,male,30 to 34,48.54597,47.84745,49.24,,,
Galloway and West Dumfries,male,35 to 39,43.95166,43.29921,44.60,,,
Galloway and West Dumfries,male,40 to 44,39.46884,38.87749,40.06,,,
Galloway and West Dumfries,male,45 to 49,34.74395,34.17977,35.31,,,
Galloway and West Dumfries,male,50 to 54,30.26288,29.73293,30.79,,,
Galloway and West Dumfries,male,55 to 59,25.96417,25.46621,26.46,,,
Galloway and West Dumfries,male,60 to 64,21.86374,21.39975,22.33,,,
Galloway and West Dumfries,male,65 to 69,17.81801,17.38587,18.25,,,
Galloway and West Dumfries,male,70 to 74,14.12806,13.71888,14.54,,,
Galloway and West Dumfries,male,75 to 79,10.81719,10.42626,11.21,,,
Galloway and West Dumfries,male,80 to 84,8.08912,7.71456,8.46,,,
Galloway and West Dumfries,male,85 to 89,5.58109,5.18558,5.98,,,
Galloway and West Dumfries,male,90+,3.98537,3.4398,4.53,,,
Glasgow Anniesland,female,less than 1,79.01241,78.21858,79.81,,,
Glasgow Anniesland,female,1 to 4,78.45106,77.72235,79.18,,,
Glasgow Anniesland,female,5 to 9,74.5115,73.79192,75.23,,,
Glasgow Anniesland,female,10 to 14,69.56754,68.85582,70.28,,,
Glasgow Anniesland,female,15 to 19,64.62511,63.92179,65.33,,,
Glasgow Anniesland,female,20 to 24,59.6836,58.98901,60.38,,,
Glasgow Anniesland,female,25 to 29,54.72889,54.03945,55.42,,,
Glasgow Anniesland,female,30 to 34,49.75348,49.06541,50.44,,,
Glasgow Anniesland,female,35 to 39,44.80164,44.11611,45.49,,,
Glasgow Anniesland,female,40 to 44,39.97841,39.30264,40.65,,,
Glasgow Anniesland,female,45 to 49,35.49118,34.84461,36.14,,,
Glasgow Anniesland,female,50 to 54,31.05459,30.43156,31.68,,,
Glasgow Anniesland,female,55 to 59,26.66497,26.06047,27.27,,,
Glasgow Anniesland,female,60 to 64,22.47398,21.8898,23.06,,,
Glasgow Anniesland,female,65 to 69,18.31946,17.75664,18.88,,,
Glasgow Anniesland,female,70 to 74,15.18597,14.6715,15.70,,,
Glasgow Anniesland,female,75 to 79,11.9313,11.46305,12.40,,,
Glasgow Anniesland,female,80 to 84,8.99906,8.56678,9.43,,,
Glasgow Anniesland,female,85 to 89,6.72006,6.28401,7.16,,,
Glasgow Anniesland,female,90+,4.80198,4.26128,5.34,,,
Glasgow Anniesland,male,less than 1,74.2561,73.48133,75.03,,,
Glasgow Anniesland,male,1 to 4,73.31404,72.54703,74.08,,,
Glasgow Anniesland,male,5 to 9,69.31404,68.54703,70.08,,,
Glasgow Anniesland,male,10 to 14,64.31404,63.54703,65.08,,,
Glasgow Anniesland,male,15 to 19,59.31404,58.54703,60.08,,,
Glasgow Anniesland,male,20 to 24,54.45946,53.70834,55.21,,,
Glasgow Anniesland,male,25 to 29,49.65761,48.92399,50.39,,,
Glasgow Anniesland,male,30 to 34,44.83154,44.10661,45.56,,,
Glasgow Anniesland,male,35 to 39,40.21424,39.50743,40.92,,,
Glasgow Anniesland,male,40 to 44,35.56124,34.87009,36.25,,,
Glasgow Anniesland,male,45 to 49,31.13466,30.47244,31.80,,,
Glasgow Anniesland,male,50 to 54,27.27241,26.65076,27.89,,,
Glasgow Anniesland,male,55 to 59,23.25308,22.65753,23.85,,,
Glasgow Anniesland,male,60 to 64,19.23879,18.66519,19.81,,,
Glasgow Anniesland,male,65 to 69,15.53543,14.98762,16.08,,,
Glasgow Anniesland,male,70 to 74,12.05843,11.52971,12.59,,,
Glasgow Anniesland,male,75 to 79,9.26813,8.75074,9.79,,,
Glasgow Anniesland,male,80 to 84,7.27541,6.75577,7.80,,,
Glasgow Anniesland,male,85 to 89,5.69332,5.09342,6.29,,,
Glasgow Anniesland,male,90+,4.66,3.74664,5.57,,,
Glasgow Cathcart,female,less than 1,81.24848,80.39933,82.10,,,
Glasgow Cathcart,female,1 to 4,80.79301,80.02658,81.56,,,
Glasgow Cathcart,female,5 to 9,76.85579,76.09869,77.61,,,
Glasgow Cathcart,female,10 to 14,71.85579,71.09869,72.61,,,
Glasgow Cathcart,female,15 to 19,66.92272,66.17634,67.67,,,
Glasgow Cathcart,female,20 to 24,61.98708,61.2507,62.72,,,
Glasgow Cathcart,female,25 to 29,57.13681,56.41833,57.86,,,
Glasgow Cathcart,female,30 to 34,52.13681,51.41833,52.86,,,
Glasgow Cathcart,female,35 to 39,47.32748,46.61849,48.04,,,
Glasgow Cathcart,female,40 to 44,42.57071,41.87409,43.27,,,
Glasgow Cathcart,female,45 to 49,37.70871,37.02027,38.40,,,
Glasgow Cathcart,female,50 to 54,33.06973,32.39734,33.74,,,
