"Table 2: Healthy Life Expectancy (HLE1) estimates by council area in Scotland, 2019-2021",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Council Area,Area Code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%),,,,,,,,,,,,,,,,
Stirling,S12000030,Female,20 to 24,62.23,61.62,62.83,47.29,44.93,49.64,75.99,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,25 to 29,57.25,56.64,57.86,42.91,40.61,45.20,74.94,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,30 to 34,52.34,51.74,52.94,38.75,36.59,40.90,74.03,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,35 to 39,47.48,46.89,48.07,34.67,32.62,36.72,73.03,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,40 to 44,42.79,42.23,43.35,30.66,28.71,32.61,71.66,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,45 to 49,38.08,37.54,38.62,26.77,24.87,28.67,70.29,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,50 to 54,33.49,32.97,34.01,23.00,21.15,24.84,68.66,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,55 to 59,28.97,28.47,29.48,19.36,17.58,21.14,66.82,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,60 to 64,24.63,24.15,25.12,15.99,14.26,17.71,64.90,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,65 to 69,20.52,20.06,20.98,12.73,11.02,14.44,62.05,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,70 to 74,16.50,16.07,16.93,9.66,7.97,11.36,58.54,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,75 to 79,12.89,12.48,13.30,6.98,5.27,8.70,54.19,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,80 to 84,9.54,9.14,9.93,4.84,3.12,6.56,50.73,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,85 to 89,6.88,6.47,7.30,3.25,1.77,4.74,47.24,,,,,,,,,,,,,,,,
Stirling,S12000030,Female,90+,4.93,4.40,5.46,2.30,0.82,3.78,46.67,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,<1,77.41,76.67,78.15,65.68,63.48,67.88,84.85,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,1 to 4,76.69,75.99,77.38,64.94,62.73,67.15,84.68,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,5 to 9,72.69,71.99,73.38,61.07,58.88,63.26,84.02,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,10 to 14,67.69,66.99,68.38,56.23,54.07,58.40,83.08,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,15 to 19,62.73,62.04,63.42,51.49,49.36,53.62,82.09,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,20 to 24,57.87,57.19,58.54,46.92,44.83,49.00,81.07,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,25 to 29,53.28,52.63,53.93,42.60,40.56,44.64,79.95,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,30 to 34,48.65,48.03,49.28,38.32,36.35,40.29,78.75,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,35 to 39,43.90,43.30,44.51,34.01,32.10,35.91,77.46,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,40 to 44,39.12,38.53,39.71,29.77,27.98,31.55,76.08,,,,,,,,,,,,,,,,
